Объект; Место; Дата; Направление; Позиция; X; Y; Звенигород; ПИ_2; 12.02.2025 12:37:16;  Forward;  0.0м ; -1018 ″; 1544 ″; 
Звенигород; ПИ_2; 12.02.2025 12:37:46;  Forward;  0.5м ; -1640 ″; 2010 ″; 
Звенигород; ПИ_2; 12.02.2025 12:38:16;  Forward;  1.0м ; -2178 ″; 2498 ″; 
Звенигород; ПИ_2; 12.02.2025 12:38:46;  Forward;  1.5м ; -2228 ″; 2584 ″; 
Звенигород; ПИ_2; 12.02.2025 12:39:16;  Forward;  2.0м ; -2147 ″; 2174 ″; 
Звенигород; ПИ_2; 12.02.2025 12:39:46;  Forward;  2.5м ; -1848 ″; 1398 ″; 
Звенигород; ПИ_2; 12.02.2025 12:40:16;  Forward;  3.0м ; -1059 ″; 993 ″; 
Звенигород; ПИ_2; 12.02.2025 12:40:46;  Forward;  3.5м ; -643 ″; 959 ″; 
Звенигород; ПИ_2; 12.02.2025 12:41:16;  Forward;  4.0м ; -177 ″; 647 ″; 
Звенигород; ПИ_2; 12.02.2025 12:41:46;  Forward;  4.5м ; 532 ″; 609 ″; 
Звенигород; ПИ_2; 12.02.2025 12:42:16;  Forward;  5.0м ; 569 ″; 1013 ″; 
Звенигород; ПИ_2; 12.02.2025 12:42:46;  Forward;  5.5м ; 304 ″; 1563 ″; 
Звенигород; ПИ_2; 12.02.2025 12:43:16;  Forward;  6.0м ; -24 ″; 2287 ″; 
Звенигород; ПИ_2; 12.02.2025 12:43:46;  Forward;  6.5м ; 231 ″; 2656 ″; 
Звенигород; ПИ_2; 12.02.2025 12:44:16;  Forward;  7.0м ; 188 ″; 2831 ″; 
Звенигород; ПИ_2; 12.02.2025 12:44:46;  Forward;  7.5м ; 810 ″; 2220 ″; 
Звенигород; ПИ_2; 12.02.2025 12:45:16;  Forward;  8.0м ; 1383 ″; 1512 ″; 
Звенигород; ПИ_2; 12.02.2025 12:45:46;  Forward;  8.5м ; 318 ″; 1718 ″; 
Звенигород; ПИ_2; 12.02.2025 12:46:16;  Forward;  9.0м ; -1087 ″; 1949 ″; 
Звенигород; ПИ_2; 12.02.2025 12:46:46;  Forward;  9.5м ; -2531 ″; 2075 ″; 
Звенигород; ПИ_2; 12.02.2025 12:47:16;  Forward;  10.0м ; -4091 ″; 2419 ″; 
