Объект; Место; Дата; Направление; Позиция; X; Y; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward Start;  5.5м ; -7274 ″; 16470 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  5.0м ; -8992 ″; 15981 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  4.5м ; -1510 ″; 17946 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  4.0м ; -2914 ″; 10872 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  3.5м ; -2364 ″; 10236 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  3.0м ; -1875 ″; 9298 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  2.5м ; -1893 ″; 9356 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  2.0м ; -36 ″; 8049 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  1.5м ; 1592 ″; 6087 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  1.0м ; -1700 ″; 5219 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  0.5м ; -3278 ″; 4213 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Forward;  0.0м ; -3227 ″; 4238 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  5.5м ; -8955 ″; -14193 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  5.0м ; -8115 ″; -14463 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  4.5м ; -3837 ″; -16135 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  4.0м ; -4301 ″; -13246 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  3.5м ; -4427 ″; -10571 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  3.0м ; -4448 ″; -10645 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  2.5м ; -5736 ″; -8825 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  2.0м ; -5953 ″; -8505 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  1.5м ; 3550 ″; -5111 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  1.0м ; 3774 ″; -5155 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  0.5м ; 13834 ″; -6359 ″; 
стенд горизонт; Войковская; 09.09.2025  18:10:26;  Back;  0.0м ; 11049 ″; -6648 ″; 
 ; ; ; Finish; ; ; ;
