Объект; Место; Дата; Направление; Позиция; X; Y; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  25.5м ; -4296 ″; 5903 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  25.0м ; -4256 ″; 5864 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  24.5м ; -3958 ″; 5637 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  24.0м ; -3495 ″; 5427 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  23.5м ; -3418 ″; 5516 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  23.0м ; -3158 ″; 5631 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  22.5м ; -2691 ″; 4715 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  22.0м ; -2118 ″; 3656 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  21.5м ; -2647 ″; 3660 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  21.0м ; -2698 ″; 3585 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  20.5м ; -2137 ″; 3070 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  20.0м ; -1571 ″; 2562 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  19.5м ; -2224 ″; 4069 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  19.0м ; -1235 ″; 3688 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  18.5м ; -615 ″; 3478 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  18.0м ; -139 ″; 3419 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  17.5м ; -130 ″; 3813 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  17.0м ; -251 ″; 3895 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  16.5м ; -676 ″; 3940 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  16.0м ; -1339 ″; 4086 ″; 
