Объект; Место; Дата; Направление; Позиция; X; Y; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  16.5м ; -336 ″; 1958 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  16.0м ; -313 ″; 2132 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  15.5м ; -429 ″; 2101 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  15.0м ; -506 ″; 1934 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  14.5м ; -575 ″; 1849 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  14.0м ; -761 ″; 1817 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  13.5м ; -1593 ″; 2063 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  13.0м ; -2024 ″; 1985 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  12.5м ; -1583 ″; 1509 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  12.0м ; -1255 ″; 1436 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  11.5м ; -1237 ″; 1323 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  11.0м ; -1297 ″; 1273 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  10.5м ; -1967 ″; 1813 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  10.0м ; -2362 ″; 2081 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  9.5м ; -2682 ″; 2152 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  9.0м ; -3189 ″; 1628 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  8.5м ; -3374 ″; 815 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  8.0м ; -3468 ″; -731 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  7.5м ; -3219 ″; -2061 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  7.0м ; -3506 ″; -3256 ″; 
Звенигород; ПИ_2; 28.06.2024  17:06:22;  Forward;  6.5м ; -2560 ″; -3550 ″; 
