Объект; Место; Дата; Направление; Позиция; X; Y; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  1.0м ; 15194 ″; 1396 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  1.5м ; 14895 ″; 1398 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  2.0м ; 14574 ″; 1398 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  2.5м ; 15143 ″; 1395 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  3.0м ; 14304 ″; 1394 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  3.5м ; 15251 ″; 1394 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  4.0м ; 14944 ″; 1388 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Forward;  4.5м ; 15303 ″; 1392 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  4.5м ; 15191 ″; 1389 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  4.0м ; 14901 ″; 1387 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  3.5м ; 15089 ″; 1393 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  3.0м ; 14890 ″; 1392 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  2.5м ; 14478 ″; 1392 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  2.0м ; 15318 ″; 1398 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:33:33;  Back;  1.5м ; 15284 ″; 1389 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:35:56;  Forward;  0.0м ; 15253 ″; 1369 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:35:56;  Forward;  0.5м ; 15168 ″; 1376 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:35:56;  Forward;  1.0м ; 15002 ″; 1360 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:35:56;  Forward;  1.5м ; 14944 ″; 1360 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:35:56;  Forward;  2.0м ; 15149 ″; 1371 ″; 
Египтяне; Тутанхамон; 06.09.2023  16:35:56;  Forward;  2.5м ; 14800 ″; 1374 ″; 
