Объект; Место; Дата; Направление; Позиция; X; Y; 

Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward Start;  3.0м ; 7409 ″; 4102 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  2.5м ; 7388 ″; 4081 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  2.0м ; 7387 ″; 4080 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  1.5м ; 7395 ″; 4086 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  1.0м ; 7395 ″; 4086 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  0.5м ; 7387 ″; 4079 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Forward;  0.0м ; 7393 ″; 4085 ″; 
Бухгалтерия; Скважина 13и; 09.10.2024  17:26:41;  Back;  3.0м ; 7387 ″; 4069 ″; 

