Объект; Место; Дата; Направление; Позиция; X; Y; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Forward;  0.5м ; 15512 ″; -6829 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Forward;  1.0м ; 13118 ″; 330 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Forward;  1.5м ; 11021 ″; 1466 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Forward;  2.0м ; 10078 ″; 2015 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Forward;  2.5м ; 8400 ″; 7522 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Forward;  3.0м ; 8507 ″; 7778 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Back;  0.5м ; 9405 ″; 2256 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Back;  1.0м ; 12817 ″; 3761 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Back;  1.5м ; 10484 ″; 2644 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Back;  2.0м ; 11846 ″; 269 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Back;  2.5м ; 9643 ″; 2151 ″; 
Площадь Этуаль; Вертикальная ; 16.01.2024  16:55:25;  Back;  3.0м ; 9689 ″; 2736 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Forward;  0.5м ; 9283 ″; 2256 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Forward;  1.0м ; 11792 ″; -167 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Forward;  1.5м ; 11291 ″; 1292 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Forward;  2.0м ; 6821 ″; 2087 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Forward;  2.5м ; 12749 ″; 3834 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Back;  2.5м ; 9286 ″; 2230 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Back;  2.0м ; 9330 ″; 2115 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Back;  1.5м ; 9846 ″; 1339 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Back;  1.0м ; 9421 ″; 2834 ″; 
Площадь Этуаль; Горизонтальная ; 16.01.2024  16:56:47;  Back;  0.5м ; 9453 ″; 2554 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Forward;  0.0м ; 9126 ″; 2129 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  0.0м ; 11137 ″; -14 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  0.5м ; 12176 ″; -313 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  1.0м ; 10212 ″; 1281 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  1.5м ; 9778 ″; 2768 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  2.0м ; 15031 ″; 4454 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  2.5м ; 14738 ″; 4053 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  3.0м ; 13598 ″; 3464 ″; 
Площадь Этуаль; Глухая ; 16.01.2024  16:57:36;  Back;  3.5м ; 10181 ″; 2918 ″; 
